管中陵,管中閔,管中徽,管中祥
1 s,1000 ns,1000 s,1000 ms
65530 kb,65535 kb,65540 kb,65545 kb
陳以潼,祝浩文,陳耀祥,簡謙益
活大,小福,小小福,農產品展示中心
圖書館前草皮,訪客中心,綠房子,農業試驗場畜牧組
臺大立體腳踏車停車場,管理學院三號館,南非大樓,次震宇宙館
仙草坊,愛玉坊,蒟蒻坊,寒天坊
20,21,22,23
狗,松鼠,貓,兔子
狗都學得會的運算思維,松鼠都學得會的運算思維,貓都學得會的運算思維,兔子都學得會的運算思維
Assembly language,machine language,high-level language,以上皆非
一朝被蛇咬 處處聞啼鳥,人生七十古來稀 PV=nRT,肥水不落阿華田,船到橋頭自然直
楊泮池,李嗣涔,錢思亮,劉兆玄
安藤一雄,空條承太郎,東方仗助,小月半子
傅校長的衣冠塚,傅校長的骨灰,傅校長的情書,傅校長的時空膠囊
"""+""：addition operator","""-"": substraction operator",/: indexing operator,%：modulus operator
變數隨便亂取，反正能交作業就好了,期中專案時不寫任何註解，組員看不懂不管我的事,看到題目就直接開始寫，事先規劃很浪費時間,將程式好好的模組化，以利於思考
辜振甫圖書館,台大數學系圖書室,台大化學系圖書室,台大總圖書館
16週正課+2週彈性教學,18週正課,17週正課+1週彈性教學,32週正課
羅斯福路四段1號,羅斯福路三段1號,新生南路三段1號,新生南路四段1號
1,2,3,4
15公里,20公里,25公里,30公里
椰林大道,校門,總圖,校長室
1000～2000,2000～3000,3000～4000,4000 up
程式設計,作業系統,資料庫管理,作業研究
有同時停靠台科與台大的公車,校園接駁公車,有同時停靠政大與台大的公車,森多概
溪頭,清境農場,六福村,新體游泳池
5折,85折,88折,9折
餵食,拍打,驅趕,射殺
801,811,821,831
ASRS,ASHS,ADHD,ABCD
情人節,女友生日,小傑生日,聖誕節
管圖,總圖,社科圖,天數館
1,2,3,4
資策會,國衛院,中研院,中經院
楊泮池,牛湳池,金龍湖,菅生沼
王力紅燈區,美軍基地,糖廠,靶場
校史館,行政大樓,土木工程館,舊體育館
3.9,3,25,2
國立台灣大學,國立政治大學,國立師範大學,國立台灣科技大學
2,3,4,5
重啟核四公投,大潭藻礁公投,萊克多巴胺美豬公投,同性婚姻公投
數學系,化學系,資管系,音樂系
可不可,50嵐,甘蔗ㄟ媽媽,龜記
鯨魚,鯊魚,海馬,海豚
化學系,數學系,海洋所,思亮館
牛奶,香草,綜合,巧克力
1000～2000,2000～3000,3000～4000,4000 up
2147483644,2147483645,2147483646,2147483647
18,68,108,128
捷運公館站,捷運台電大樓站,捷運古亭站,捷運六張犁站
FAT,SLIM,MILS,TAF
臺大,捷運公館站,公館,台灣科技大學
山嵐,墨洋,極匠,壹之穴
SlimCat+,SlimDog+,MetaCat+,MetaDog+
